geo_sample_id,title,source_name,organism,geo_accession,char_study_sample_id,char_cell_line_group,char_unique_variable_name,char_cell_line_inhouse,char_cell_line,char_cell_type,char_sex,char_clinical_condition,char_donor_age,char_study_part,char_replicate_line,char_treatments,char_percent_oxygen,char_date_of_collection,char_time_of_day,char_pre_designated_time_point_udays,char_passage,char_pre_study_passages_udivisions,char_days_grown_udays,char_days_after_treatment_udays,char_days_per_passage_udays,char_cells_plated_umillioncells,char_cells_counted_with_dead_umillioncells,char_divisions_per_passage_udoublings,char_population_doublings_utotal_divisions,char_population_doubling_time_uhours_per_division,char_dneasy_batch,char_sample_plate,char_slide,char_array,char_well,supplementary_files,char_notes
GSM5435112,Methylation_HC5_sp1_Normal_Control_ox21_p4,Primary Human Fibroblast (forearm),Homo sapiens,GSE179847,2,HC5_sp1_Normal_Control_ox21,HC5_sp1_Normal_Control_ox21_p4,hFB1,HC5,Primary Human Fibroblast (forearm),male,Normal,29,1,1,Control,21,2017-10-15,13:00,NA,4,3,3.895833333,-15.95833334,3.895833333,0.5,2.33815,2.824829557,2.824829557,33.09934214,1,WG6994417-MSA4,203784950011,R01C01,A09,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5435nnn/GSM5435112/suppl/GSM5435112_203784950011_R01C01_Grn.idat.gz|ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5435nnn/GSM5435112/suppl/GSM5435112_203784950011_R01C01_Red.idat.gz,
GSM5435113,Methylation_HC5_sp1_Normal_Control_ox21_p6,Primary Human Fibroblast (forearm),Homo sapiens,GSE179847,4,HC5_sp1_Normal_Control_ox21,HC5_sp1_Normal_Control_ox21_p6,hFB1,HC5,Primary Human Fibroblast (forearm),male,Normal,29,1,1,Control,21,2017-10-23,13:00,NA,6,3,11.89583333,-7.95833334,4,0.5,3.51495,2.813504167,7.40386847,34.12115081,1,WG6994408-MSA4,203784950064,R03C01,C09,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5435nnn/GSM5435113/suppl/GSM5435113_203784950064_R03C01_Grn.idat.gz|ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5435nnn/GSM5435113/suppl/GSM5435113_203784950064_R03C01_Red.idat.gz,
GSM5435114,Methylation_HC5_sp1_Normal_Control_ox21_p9,Primary Human Fibroblast (forearm),Homo sapiens,GSE179847,7,HC5_sp1_Normal_Control_ox21,HC5_sp1_Normal_Control_ox21_p9,hFB1,HC5,Primary Human Fibroblast (forearm),male,Normal,29,1,1,Control,21,2017-11-05,13:00,NA,9,3,24.85416667,5,5,0.5,6.868,3.779890039,17.94426986,31.74695527,1,WG6994409-MSA4,203784950028,R06C01,F02,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5435nnn/GSM5435114/suppl/GSM5435114_203784950028_R06C01_Grn.idat.gz|ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5435nnn/GSM5435114/suppl/GSM5435114_203784950028_R06C01_Red.idat.gz,
GSM5435115,Methylation_HC5_sp1_Normal_Control_ox21_p13,Primary Human Fibroblast (forearm),Homo sapiens,GSE179847,11,HC5_sp1_Normal_Control_ox21,HC5_sp1_Normal_Control_ox21_p13,hFB1,HC5,Primary Human Fibroblast (forearm),male,Normal,29,1,1,Control,21,2017-11-25,23:00,NA,13,3,45.4375,25.58333333,5.229166667,0.5,6.5178,3.704385083,32.79206652,33.87876724,1,WG6994408-MSA4,203784950092,R02C01,B01,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5435nnn/GSM5435115/suppl/GSM5435115_203784950092_R02C01_Grn.idat.gz|ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5435nnn/GSM5435115/suppl/GSM5435115_203784950092_R02C01_Red.idat.gz,
GSM5435116,Methylation_HC5_sp1_Normal_Control_ox21_p16,Primary Human Fibroblast (forearm),Homo sapiens,GSE179847,14,HC5_sp1_Normal_Control_ox21,HC5_sp1_Normal_Control_ox21_p16,hFB1,HC5,Primary Human Fibroblast (forearm),male,Normal,29,1,1,Control,21,2017-12-11,14:00,NA,16,3,61.0625,41.20833333,5.625,0.5,9.8547,4.300811953,44.36331278,31.38942169,1,WG6994408-MSA4,203784950049,R04C01,D11,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5435nnn/GSM5435116/suppl/GSM5435116_203784950049_R04C01_Grn.idat.gz|ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5435nnn/GSM5435116/suppl/GSM5435116_203784950049_R04C01_Red.idat.gz,
GSM5435117,Methylation_HC5_sp1_Normal_Control_ox21_p20,Primary Human Fibroblast (forearm),Homo sapiens,GSE179847,18,HC5_sp1_Normal_Control_ox21,HC5_sp1_Normal_Control_ox21_p20,hFB1,HC5,Primary Human Fibroblast (forearm),male,Normal,29,1,1,Control,21,2018-01-03,15:00,NA,20,3,84.10416667,64.25,6.041666667,1,2.7606,1.464981862,52.91601679,98.97733463,1,WG6994409-MSA4,203784950058,R06C01,F10,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5435nnn/GSM5435117/suppl/GSM5435117_203784950058_R06C01_Grn.idat.gz|ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5435nnn/GSM5435117/suppl/GSM5435117_203784950058_R06C01_Red.idat.gz,
GSM5435118,Methylation_HC5_sp1_Normal_Control_ox21_p25,Primary Human Fibroblast (forearm),Homo sapiens,GSE179847,23,HC5_sp1_Normal_Control_ox21,HC5_sp1_Normal_Control_ox21_p25,hFB1,HC5,Primary Human Fibroblast (forearm),male,Normal,29,1,1,Control,21,2018-02-05,11:00,NA,25,3,116.9375,97.08333333,6.75,0,0.82044,0.158653581,57.22543585,1021.092614,1,WG6994409-MSA4,203784950010,R04C01,D11,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5435nnn/GSM5435118/suppl/GSM5435118_203784950010_R04C01_Grn.idat.gz|ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5435nnn/GSM5435118/suppl/GSM5435118_203784950010_R04C01_Red.idat.gz,
GSM5435119,Methylation_HC6_sp1_Normal_Control_ox21_p5,Primary Human Fibroblast (forearm),Homo sapiens,GSE179847,25,HC6_sp1_Normal_Control_ox21,HC6_sp1_Normal_Control_ox21_p5,hFB2,HC6,Primary Human Fibroblast (forearm),female,Normal,36,1,1,Control,21,2017-10-19,13:00,NA,5,4,4,-12.95833333,4,0.5,2.785,3.077139398,3.077139398,31.19780666,1,WG6994424-MSA4,203833030066,R02C01,B09,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5435nnn/GSM5435119/suppl/GSM5435119_203833030066_R02C01_Grn.idat.gz|ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5435nnn/GSM5435119/suppl/GSM5435119_203833030066_R02C01_Red.idat.gz,
GSM5435120,Methylation_HC6_sp1_Normal_Control_ox21_p7,Primary Human Fibroblast (forearm),Homo sapiens,GSE179847,27,HC6_sp1_Normal_Control_ox21,HC6_sp1_Normal_Control_ox21_p7,hFB2,HC6,Primary Human Fibroblast (forearm),female,Normal,36,1,1,Control,21,2017-10-27,13:00,NA,7,4,12,-4.95833333,4,0.5,4.4096,3.140647793,9.92718812,30.56694234,1,WG6994409-MSA4,203784950028,R05C01,E02,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5435nnn/GSM5435120/suppl/GSM5435120_203784950028_R05C01_Grn.idat.gz|ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5435nnn/GSM5435120/suppl/GSM5435120_203784950028_R05C01_Red.idat.gz,
GSM5435121,Methylation_HC6_sp1_Normal_Control_ox21_p10,Primary Human Fibroblast (forearm),Homo sapiens,GSE179847,30,HC6_sp1_Normal_Control_ox21,HC6_sp1_Normal_Control_ox21_p10,hFB2,HC6,Primary Human Fibroblast (forearm),female,Normal,36,1,1,Control,21,2017-11-11,18:00,NA,10,4,27.22916667,10.27083334,5.041666667,0.5,6.5751,3.717012836,21.10943757,32.55302183,1,WG6994424-MSA4,203833030069,R06C01,F10,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5435nnn/GSM5435121/suppl/GSM5435121_203833030069_R06C01_Grn.idat.gz|ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5435nnn/GSM5435121/suppl/GSM5435121_203833030069_R06C01_Red.idat.gz,
