geo_sample_id,title,source_name,organism,geo_accession,char_study_sample_id,char_cell_line_group,char_unique_variable_name,char_cell_line,char_inhouse_cell_line_name,char_cell_type,char_sex,char_clinical_condition,char_donor_age,char_study_part,char_replicate_line,char_treatments,char_percent_oxygen,char_date_of_passage,char_time_of_passage,char_pre_designated_time_point_udays,char_passage,char_pre_study_passages_udivisions,char_days_grown_udays,char_days_per_passage_udays,char_cells_plated_umillioncells,char_cells_counted_with_dead_umillioncells,char_divisions_per_passage_udoublings,char_population_doublings_utotal_divisions,char_population_doubling_time_uhours_per_division,char_rnaseq_sampleid,char_rnaseq_well_position,char_rnaseq_count_uread_transcripts,char_rnaseq_yield,char_rnaseq_quality,char_rnaseq_base_30,char_rnaseq_rin,char_rnaseq_rnatotal_ng,char_rnaseq_dv200,char_rnaseq_dna_ng,supplementary_files,char_notes
GSM5435591,SURF1_1_sp2_SURF1_Mutation_Control_ox21_p11,Primary Human Fibroblast (forearm),Homo sapiens,GSE179848,430,SURF1_1_sp2_SURF1_Mutation_Control_ox21,SURF1_1_sp2_SURF1_Mutation_Control_ox21_p11,SURF1_1,hFB6,Primary Human Fibroblast (forearm),male,SURF1_Mutation,1,2,0,Control,21,2018-08-30,22:00,NA,11,7,22.41666667,6.166666667,1,2.7999,2.485375301,8.167934125,59.54835067,1,1,39857912,11957,35.55,92.12,10,2008.16,83.46,0,,
GSM5435592,SURF1_1_sp2_SURF1_Mutation_Control_ox21_p14,Primary Human Fibroblast (forearm),Homo sapiens,GSE179848,433,SURF1_1_sp2_SURF1_Mutation_Control_ox21,SURF1_1_sp2_SURF1_Mutation_Control_ox21_p14,SURF1_1,hFB6,Primary Human Fibroblast (forearm),male,SURF1_Mutation,1,2,0,Control,21,2018-09-17,15:00,NA,14,7,39.125,4.958333333,1.5,4.37835,2.130387286,14.92421727,55.85838817,2,1,43793696,13138,35.6,92.34,10,1362.48,83.25,0,,
GSM5435593,SURF1_1_sp2_SURF1_Mutation_Control_ox21_p17,Primary Human Fibroblast (forearm),Homo sapiens,GSE179848,436,SURF1_1_sp2_SURF1_Mutation_Control_ox21,SURF1_1_sp2_SURF1_Mutation_Control_ox21_p17,SURF1_1,hFB6,Primary Human Fibroblast (forearm),male,SURF1_Mutation,1,2,0,Control,21,2018-10-02,13:00,NA,17,7,55.04166667,5.125,2,3.01788,1.00857294,18.6836389,121.9544914,3,1,43051920,12916,35.58,92.26,10,1374.8,82.18,0,,
GSM5435594,SURF1_1_sp2_SURF1_Mutation_Control_ox21_p20,Primary Human Fibroblast (forearm),Homo sapiens,GSE179848,439,SURF1_1_sp2_SURF1_Mutation_Control_ox21,SURF1_1_sp2_SURF1_Mutation_Control_ox21_p20,SURF1_1,hFB6,Primary Human Fibroblast (forearm),male,SURF1_Mutation,1,2,0,Control,21,2018-10-17,15:00,NA,20,7,70.125,5.125,2.5,3.7596,0.588651081,20.68255953,208.9523048,4,1,44922952,13476,35.57,92.15,9.8,1257.48,82.02,0,,
GSM5435595,SURF1_1_sp2_SURF1_Mutation_Control_ox21_p23,Primary Human Fibroblast (forearm),Homo sapiens,GSE179848,442,SURF1_1_sp2_SURF1_Mutation_Control_ox21,SURF1_1_sp2_SURF1_Mutation_Control_ox21_p23,SURF1_1,hFB6,Primary Human Fibroblast (forearm),male,SURF1_Mutation,1,2,0,Control,21,2018-11-01,13:00,NA,23,7,85.08333333,4.958333333,2.5,3.4608,1.140341011,22.48892992,104.354749,5,1,43191983,12958,35.58,92.22,10,1426.32,80.96,0,,
GSM5435596,SURF1_1_sp2_SURF1_Mutation_Control_ox21_p26,Primary Human Fibroblast (forearm),Homo sapiens,GSE179848,445,SURF1_1_sp2_SURF1_Mutation_Control_ox21,SURF1_1_sp2_SURF1_Mutation_Control_ox21_p26,SURF1_1,hFB6,Primary Human Fibroblast (forearm),male,SURF1_Mutation,1,2,0,Control,21,2018-11-16,18:00,NA,26,7,100.2916667,4.916666667,2.5,3.470865,0.473367157,23.82434639,249.2779614,6,1,39486906,11846,35.58,92.21,9.7,1235.92,80.55,0,,
GSM5435597,SURF1_1_sp2_SURF1_Mutation_Control_ox21_p32,Primary Human Fibroblast (forearm),Homo sapiens,GSE179848,451,SURF1_1_sp2_SURF1_Mutation_Control_ox21,SURF1_1_sp2_SURF1_Mutation_Control_ox21_p32,SURF1_1,hFB6,Primary Human Fibroblast (forearm),male,SURF1_Mutation,1,2,0,Control,21,2018-12-27,14:00,NA,32,7,140.375,10.04166667,0,0.57024,0,25.23417762,0,7,1,36691425,11008,35.68,92.7,9.3,1259.16,80.86,0,,
GSM5435598,SURF1_2_sp2_SURF1_Mutation_Control_ox21_p10,Primary Human Fibroblast (forearm),Homo sapiens,GSE179848,457,SURF1_2_sp2_SURF1_Mutation_Control_ox21,SURF1_2_sp2_SURF1_Mutation_Control_ox21_p10,SURF1_2,hFB7,Primary Human Fibroblast (forearm),male,SURF1_Mutation,11,2,0,Control,21,2018-08-29,15:00,NA,10,5,21.125,4.875,0.5,3.8976,2.962586038,12.14140161,39.49252393,8,1,45123306,13537,35.57,92.23,9.9,1352.4,81.96,0,,
GSM5435599,SURF1_2_sp2_SURF1_Mutation_Control_ox21_p13,Primary Human Fibroblast (forearm),Homo sapiens,GSE179848,460,SURF1_2_sp2_SURF1_Mutation_Control_ox21,SURF1_2_sp2_SURF1_Mutation_Control_ox21_p13,SURF1_2,hFB7,Primary Human Fibroblast (forearm),male,SURF1_Mutation,11,2,0,Control,21,2018-09-15,18:00,NA,13,5,38.25,6.125,0.5,4.74315,3.245845494,21.0388644,45.28866216,9,1,40741595,12223,35.56,92.16,9.8,1036.62,81.19,0,,
GSM5435600,SURF1_2_sp2_SURF1_Mutation_Control_ox21_p16,Primary Human Fibroblast (forearm),Homo sapiens,GSE179848,463,SURF1_2_sp2_SURF1_Mutation_Control_ox21,SURF1_2_sp2_SURF1_Mutation_Control_ox21_p16,SURF1_2,hFB7,Primary Human Fibroblast (forearm),male,SURF1_Mutation,11,2,0,Control,21,2018-10-01,9:00,NA,16,5,53.875,5.833333333,1.5,3.645,1.865918815,27.3180807,75.03005967,10,1,45636937,13691,35.53,92.01,9.7,1141,81.84,0,,
