img_path,phase,cell_line,cell_line_sex,passage,treatment,treatment_raw,magnification,flask_size,o2_percent,seeding_density,microscope,image_date,extension,study_part,percent_oxygen,treatment_norm,time_point_x,sample_id,time_point_y,pdl,pdl_norm,pdl_bin,percent_lifespan,clinical_condition,donor_age,cell_type,days_grown,telomere_length,mtdna_cn,cell_size,cell_volume,seahorse_respiration,seahorse_ecar,rnaseq_id,methylation_basename,clock_horvath1,clock_phenoage,clock_grimage,clock_mitotic,clock_dnamtl,clock_dnamsen,clock_dunedin,has_image,has_pdl,has_rna,has_methylation,has_telomere,has_mtdna,n_modalities,unmatched_reason,rna_geo_sample_id,rna_title,rna_source_name,rna_organism,rna_geo_accession,rna_char_study_sample_id,rna_char_cell_line_group,rna_char_unique_variable_name,rna_char_cell_line,rna_char_inhouse_cell_line_name,rna_char_cell_type,rna_char_sex,rna_char_clinical_condition,rna_char_donor_age,rna_char_study_part,rna_char_replicate_line,rna_char_treatments,rna_char_percent_oxygen,rna_char_date_of_passage,rna_char_time_of_passage,rna_char_pre_designated_time_point_udays,rna_char_passage,rna_char_pre_study_passages_udivisions,rna_char_days_grown_udays,rna_char_days_per_passage_udays,rna_char_cells_plated_umillioncells,rna_char_cells_counted_with_dead_umillioncells,rna_char_divisions_per_passage_udoublings,rna_char_population_doublings_utotal_divisions,rna_char_population_doubling_time_uhours_per_division,rna_char_rnaseq_well_position,rna_char_rnaseq_count_uread_transcripts,rna_char_rnaseq_yield,rna_char_rnaseq_quality,rna_char_rnaseq_base_30,rna_char_rnaseq_rin,rna_char_rnaseq_rnatotal_ng,rna_char_rnaseq_dv200,rna_char_rnaseq_dna_ng,rna_supplementary_files,rna_char_notes,meth_geo_sample_id,meth_title,meth_source_name,meth_organism,meth_geo_accession,meth_char_study_sample_id,meth_char_cell_line_group,meth_char_unique_variable_name,meth_char_cell_line_inhouse,meth_char_cell_line,meth_char_cell_type,meth_char_sex,meth_char_clinical_condition,meth_char_donor_age,meth_char_study_part,meth_char_replicate_line,meth_char_treatments,meth_char_percent_oxygen,meth_char_date_of_collection,meth_char_time_of_day,meth_char_pre_designated_time_point_udays,meth_char_passage,meth_char_pre_study_passages_udivisions,meth_char_days_grown_udays,meth_char_days_after_treatment_udays,meth_char_days_per_passage_udays,meth_char_cells_plated_umillioncells,meth_char_cells_counted_with_dead_umillioncells,meth_char_divisions_per_passage_udoublings,meth_char_population_doublings_utotal_divisions,meth_char_population_doubling_time_uhours_per_division,meth_char_dneasy_batch,meth_char_sample_plate,meth_char_slide,meth_char_array,meth_char_well,meth_supplementary_files,meth_char_notes,fold,fold_role
"/Volumes/SanDisk SSD 1TB/Storage/Data/Cellular_Lifespan_Study_Brightfield_Images/PhaseII/2019-01-16/hFB14, CTRL, P31, 500kcells, 21-days growth, senescence, 20x.jpg",PhaseII,hFB14,,31,Control,CTRL,20,,,500kcells,,,.jpg,2,21,Control,,422.0,,42.26,0.9403649309982118,late,,Normal,0.0,Primary Human Fibroblast (foreskin),140.38,,,21.355,5099.14,46.86,13.52,49.0,,,,,,,,,True,True,True,False,False,False,1,matched,GSM5435639,HC3_sp2_Normal_Control_ox21_p31,Primary Human Fibroblast (foreskin),Homo sapiens,GSE179848,422.0,HC3_sp2_Normal_Control_ox21,HC3_sp2_Normal_Control_ox21_p31,HC3,hFB14,Primary Human Fibroblast (foreskin),male,Normal,0.0,2.0,0.0,Control,21.0,2018-12-27,14:00,,31.0,5.0,140.375,10.04166667,0.5,2.5775925,0.044096106,42.26067898,5465.335136,5.0,40923970.0,12277.0,35.65,92.56,9.5,1229.76,78.95,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
"/Volumes/SanDisk SSD 1TB/Storage/Data/Cellular_Lifespan_Study_Brightfield_Images/PhaseII/2019-01-16/hFB14, CTRL, P31, 500kcells, 21-days growth, senescence, 10x.jpg",PhaseII,hFB14,,31,Control,CTRL,10,,,500kcells,,,.jpg,2,21,Control,,422.0,,42.26,0.9403649309982118,late,,Normal,0.0,Primary Human Fibroblast (foreskin),140.38,,,21.355,5099.14,46.86,13.52,49.0,,,,,,,,,True,True,True,False,False,False,1,matched,GSM5435639,HC3_sp2_Normal_Control_ox21_p31,Primary Human Fibroblast (foreskin),Homo sapiens,GSE179848,422.0,HC3_sp2_Normal_Control_ox21,HC3_sp2_Normal_Control_ox21_p31,HC3,hFB14,Primary Human Fibroblast (foreskin),male,Normal,0.0,2.0,0.0,Control,21.0,2018-12-27,14:00,,31.0,5.0,140.375,10.04166667,0.5,2.5775925,0.044096106,42.26067898,5465.335136,5.0,40923970.0,12277.0,35.65,92.56,9.5,1229.76,78.95,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
"/Volumes/SanDisk SSD 1TB/Storage/Data/Cellular_Lifespan_Study_Brightfield_Images/PhaseII/2018-08-30/hFB12, Ctrl, P6, 500kcells, t175, 5-days growth, 10x.jpg",PhaseII,hFB12,,6,Control,Ctrl,10,175.0,,500kcells,,,.jpg,2,21,Control,,318.0,,15.22,0.22235208180829288,early,,Normal,18.0,Primary Human Fibroblast (breast),21.21,1.12,342.19,26.965,10265.97,54.42,10.79,21.0,203784950092_R03C01,29.22,15.14,44.04,59.23,5.43,-2.67,0.668920726,True,True,True,True,True,True,4,matched,GSM5435611,HC1_sp2_Normal_Control_ox21_p6,Primary Human Fibroblast (breast),Homo sapiens,GSE179848,318.0,HC1_sp2_Normal_Control_ox21,HC1_sp2_Normal_Control_ox21_p6,HC1,hFB12,Primary Human Fibroblast (breast),male,Normal,18.0,2.0,1.0,Control,21.0,2018-08-29,15:00,,6.0,1.0,21.20833333,4.875,0.5,5.4843,3.455307491,15.21813292,33.86095168,3.0,40359121.0,12108.0,35.54,92.11,9.9,1187.2,82.16,0.0,,,GSM5435178,Methylation_HC1_sp2_Normal_Control_ox21_p6,Primary Human Fibroblast (breast),Homo sapiens,GSE179847,318.0,HC1_sp2_Normal_Control_ox21,HC1_sp2_Normal_Control_ox21_p6,hFB12,HC1,Primary Human Fibroblast (breast),male,Normal,18.0,2.0,1.0,Control,21.0,2018-08-29,15:00,,6.0,1.0,21.20833333,4.875,4.875,0.5,5.4843,3.455307491,15.21813292,33.86095168,5.0,WG6994408-MSA4,203784950092.0,R03C01,C01,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5435nnn/GSM5435178/suppl/GSM5435178_203784950092_R03C01_Grn.idat.gz|ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5435nnn/GSM5435178/suppl/GSM5435178_203784950092_R03C01_Red.idat.gz,,0.0,0.0
"/Volumes/SanDisk SSD 1TB/Storage/Data/Cellular_Lifespan_Study_Brightfield_Images/PhaseII/2018-08-30/hFB12, Ctrl, P6, 500kcells, t175, 5-days growth, 20x.jpg",PhaseII,hFB12,,6,Control,Ctrl,20,175.0,,500kcells,,,.jpg,2,21,Control,,318.0,,15.22,0.22235208180829288,early,,Normal,18.0,Primary Human Fibroblast (breast),21.21,1.12,342.19,26.965,10265.97,54.42,10.79,21.0,203784950092_R03C01,29.22,15.14,44.04,59.23,5.43,-2.67,0.668920726,True,True,True,True,True,True,4,matched,GSM5435611,HC1_sp2_Normal_Control_ox21_p6,Primary Human Fibroblast (breast),Homo sapiens,GSE179848,318.0,HC1_sp2_Normal_Control_ox21,HC1_sp2_Normal_Control_ox21_p6,HC1,hFB12,Primary Human Fibroblast (breast),male,Normal,18.0,2.0,1.0,Control,21.0,2018-08-29,15:00,,6.0,1.0,21.20833333,4.875,0.5,5.4843,3.455307491,15.21813292,33.86095168,3.0,40359121.0,12108.0,35.54,92.11,9.9,1187.2,82.16,0.0,,,GSM5435178,Methylation_HC1_sp2_Normal_Control_ox21_p6,Primary Human Fibroblast (breast),Homo sapiens,GSE179847,318.0,HC1_sp2_Normal_Control_ox21,HC1_sp2_Normal_Control_ox21_p6,hFB12,HC1,Primary Human Fibroblast (breast),male,Normal,18.0,2.0,1.0,Control,21.0,2018-08-29,15:00,,6.0,1.0,21.20833333,4.875,4.875,0.5,5.4843,3.455307491,15.21813292,33.86095168,5.0,WG6994408-MSA4,203784950092.0,R03C01,C01,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5435nnn/GSM5435178/suppl/GSM5435178_203784950092_R03C01_Grn.idat.gz|ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5435nnn/GSM5435178/suppl/GSM5435178_203784950092_R03C01_Red.idat.gz,,0.0,0.0
"/Volumes/SanDisk SSD 1TB/Storage/Data/Cellular_Lifespan_Study_Brightfield_Images/PhaseII/2018-08-30/hFB14, ctrl, P10, 500kcells, t175, 5-days growth, 20x.jpg",PhaseII,hFB14,,10,Control,ctrl,20,175.0,,500kcells,,,.jpg,2,21,Control,,401.0,,16.85,0.37494437026312993,early,,Normal,0.0,Primary Human Fibroblast (foreskin),22.42,,,23.74,7005.53,44.71,16.35,43.0,,,,,,,,,True,True,True,False,False,False,1,matched,GSM5435633,HC3_sp2_Normal_Control_ox21_p10,Primary Human Fibroblast (foreskin),Homo sapiens,GSE179848,401.0,HC3_sp2_Normal_Control_ox21,HC3_sp2_Normal_Control_ox21_p10,HC3,hFB14,Primary Human Fibroblast (foreskin),male,Normal,0.0,2.0,0.0,Control,21.0,2018-08-30,22:00,,10.0,5.0,22.41666667,5.166666667,0.5,5.2419,3.390089832,16.84626735,36.57720184,5.0,40977213.0,12293.0,35.55,92.15,9.9,1157.52,80.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
"/Volumes/SanDisk SSD 1TB/Storage/Data/Cellular_Lifespan_Study_Brightfield_Images/PhaseII/2018-08-30/hFB14, ctrl, P10, 500kcells, t175, 5-days growth, 10x.jpg",PhaseII,hFB14,,10,Control,ctrl,10,175.0,,500kcells,,,.jpg,2,21,Control,,401.0,,16.85,0.37494437026312993,early,,Normal,0.0,Primary Human Fibroblast (foreskin),22.42,,,23.74,7005.53,44.71,16.35,43.0,,,,,,,,,True,True,True,False,False,False,1,matched,GSM5435633,HC3_sp2_Normal_Control_ox21_p10,Primary Human Fibroblast (foreskin),Homo sapiens,GSE179848,401.0,HC3_sp2_Normal_Control_ox21,HC3_sp2_Normal_Control_ox21_p10,HC3,hFB14,Primary Human Fibroblast (foreskin),male,Normal,0.0,2.0,0.0,Control,21.0,2018-08-30,22:00,,10.0,5.0,22.41666667,5.166666667,0.5,5.2419,3.390089832,16.84626735,36.57720184,5.0,40977213.0,12293.0,35.55,92.15,9.9,1157.52,80.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
"/Volumes/SanDisk SSD 1TB/Storage/Data/Cellular_Lifespan_Study_Brightfield_Images/PhaseII/2019-02-07/hFB13, CTRL, P33, 1Mcells, 7-days growth, 20x.jpg",PhaseII,hFB13,,33,Control,CTRL,20,,,1Mcells,,,.jpg,2,21,Control,,387.0,,77.74,0.9616526471924584,late,,Normal,18.0,Primary Human Fibroblast (breast),182.08,,,17.475,2794.15,74.62,19.29,41.0,,,,,,,,,True,True,True,False,False,False,1,matched,GSM5435631,HC2_sp2_Normal_Control_ox21_p33,Primary Human Fibroblast (breast),Homo sapiens,GSE179848,387.0,HC2_sp2_Normal_Control_ox21,HC2_sp2_Normal_Control_ox21_p33,HC2,hFB13,Primary Human Fibroblast (breast),female,Normal,18.0,2.0,1.0,Control,21.0,2019-02-07,14:00,,33.0,1.0,182.0833333,7.083333333,1.0,2.322,1.215367972,77.74234846,139.8753331,5.0,40953386.0,12286.0,35.5,91.92,9.9,1314.04,81.97,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
"/Volumes/SanDisk SSD 1TB/Storage/Data/Cellular_Lifespan_Study_Brightfield_Images/PhaseII/2019-02-07/hFB13, CTRL, P33, 1Mcells, 7-days growth, 10x.jpg",PhaseII,hFB13,,33,Control,CTRL,10,,,1Mcells,,,.jpg,2,21,Control,,387.0,,77.74,0.9616526471924584,late,,Normal,18.0,Primary Human Fibroblast (breast),182.08,,,17.475,2794.15,74.62,19.29,41.0,,,,,,,,,True,True,True,False,False,False,1,matched,GSM5435631,HC2_sp2_Normal_Control_ox21_p33,Primary Human Fibroblast (breast),Homo sapiens,GSE179848,387.0,HC2_sp2_Normal_Control_ox21,HC2_sp2_Normal_Control_ox21_p33,HC2,hFB13,Primary Human Fibroblast (breast),female,Normal,18.0,2.0,1.0,Control,21.0,2019-02-07,14:00,,33.0,1.0,182.0833333,7.083333333,1.0,2.322,1.215367972,77.74234846,139.8753331,5.0,40953386.0,12286.0,35.5,91.92,9.9,1314.04,81.97,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
"/Volumes/SanDisk SSD 1TB/Storage/Data/Cellular_Lifespan_Study_Brightfield_Images/PhaseII/2018-10-02/hFB14, ctrl, P16, 1-5Mcells, t175, 5-days growth, 20x.jpg",PhaseII,hFB14,,16,Control,ctrl,20,175.0,,1-5Mcells,,,.jpg,2,21,Control,,407.0,,32.17,0.7158433466685394,mid,,Normal,0.0,Primary Human Fibroblast (foreskin),55.04,,,23.66,6934.94,42.56,11.8,45.0,,,,,,,,,True,True,True,False,False,False,1,matched,GSM5435635,HC3_sp2_Normal_Control_ox21_p16,Primary Human Fibroblast (foreskin),Homo sapiens,GSE179848,407.0,HC3_sp2_Normal_Control_ox21,HC3_sp2_Normal_Control_ox21_p16,HC3,hFB14,Primary Human Fibroblast (foreskin),male,Normal,0.0,2.0,0.0,Control,21.0,2018-10-02,13:00,,16.0,5.0,55.04166667,5.125,1.5,6.3945,2.091869055,32.16909932,58.79909151,5.0,39325720.0,11797.0,35.54,92.08,9.9,1258.04,82.24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
"/Volumes/SanDisk SSD 1TB/Storage/Data/Cellular_Lifespan_Study_Brightfield_Images/PhaseII/2018-10-02/hFB14, ctrl, P16, 1-5Mcells, t175, 5-days growth, 10x.jpg",PhaseII,hFB14,,16,Control,ctrl,10,175.0,,1-5Mcells,,,.jpg,2,21,Control,,407.0,,32.17,0.7158433466685394,mid,,Normal,0.0,Primary Human Fibroblast (foreskin),55.04,,,23.66,6934.94,42.56,11.8,45.0,,,,,,,,,True,True,True,False,False,False,1,matched,GSM5435635,HC3_sp2_Normal_Control_ox21_p16,Primary Human Fibroblast (foreskin),Homo sapiens,GSE179848,407.0,HC3_sp2_Normal_Control_ox21,HC3_sp2_Normal_Control_ox21_p16,HC3,hFB14,Primary Human Fibroblast (foreskin),male,Normal,0.0,2.0,0.0,Control,21.0,2018-10-02,13:00,,16.0,5.0,55.04166667,5.125,1.5,6.3945,2.091869055,32.16909932,58.79909151,5.0,39325720.0,11797.0,35.54,92.08,9.9,1258.04,82.24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
