sample_id,fold,pdl_true,pdl_hat,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,z_32,z_33,z_34,z_35,z_36,z_37,z_38,z_39,z_40,z_41,z_42,z_43,z_44,z_45,z_46,z_47,z_48,z_49,z_50,z_51,z_52,z_53,z_54,z_55,z_56,z_57,z_58,z_59,z_60,z_61,z_62,z_63,z_64,z_65,z_66,z_67,z_68,z_69,z_70,z_71,z_72,z_73,z_74,z_75,z_76,z_77,z_78,z_79,z_80,z_81,z_82,z_83,z_84,z_85,z_86,z_87,z_88,z_89,z_90,z_91,z_92,z_93,z_94,z_95,z_96,z_97,z_98,z_99,z_100,z_101,z_102,z_103,z_104,z_105,z_106,z_107,z_108,z_109,z_110,z_111,z_112,z_113,z_114,z_115,z_116,z_117,z_118,z_119,z_120,z_121,z_122,z_123,z_124,z_125,z_126,z_127
313,0,0.0,0.0031355247,-6.045224,-5.940467,-4.890984,-3.7550519,-10.80455,-6.631448,5.882976,-5.9235935,-1.7388457,-6.919095,10.258008,14.72826,11.268809,-4.138911,1.329279,-7.863672,2.4113328,6.412752,-0.015954934,3.970175,-1.9783163,-10.368436,2.5969596,3.1028583,9.636534,-2.670437,-8.493076,3.5897963,-1.3131335,5.262904,2.7373376,-10.373587,6.803795,-11.092124,14.455289,4.9278684,4.5077577,7.1680737,-7.474142,0.2244106,-0.49818686,-1.2390512,-3.8776402,-7.0949936,0.21643963,0.04791916,-2.648154,-1.9696026,-2.7502224,-5.5608544,-2.782582,3.2438884,1.377225,-3.0439012,11.968682,-1.1345282,-6.42474,1.8287091,3.992052,6.834457,5.7149296,-12.623746,8.984333,-7.106947,13.705996,-9.198955,7.2270193,4.320766,1.6089545,-3.2447658,0.8490024,-0.16915569,-2.481802,-4.435171,7.832353,-3.0178778,5.171552,-4.0018497,3.8930056,10.453742,-2.2578015,-1.3733258,-8.30456,1.7683661,-5.476493,2.1464653,-3.9434967,3.2627985,-6.0748534,8.318371,6.353254,6.482708,0.68713874,-5.355989,-4.5953536,-3.6278813,-13.442673,-1.2017943,1.7529042,-8.946134,0.26999635,-2.3567839,-7.721019,3.6512904,3.3908105,-1.0847087,-3.882454,11.817398,7.884273,4.1900034,-7.3482924,-6.3974385,-6.753457,15.174433,-7.258453,4.2222214,-7.7828355,-1.5364605,-0.54807323,-4.345041,-5.9192605,-4.949853,-3.41528,7.225588,-6.317721,-4.2043056,-5.462045,-2.2200515
315,0,0.075821765,-0.0074142814,-5.396822,-5.827605,-4.984584,-3.416412,-9.958885,-7.010982,5.900005,-6.056772,-1.9272517,-6.94022,8.411915,14.200345,10.074699,-3.148822,1.3194757,-7.021809,1.5607793,5.9481735,-0.7706443,3.651525,-1.2613281,-9.766301,1.7110745,3.171766,9.110032,-2.470981,-8.123793,3.670518,-1.372783,4.882189,2.6430435,-10.505367,6.159434,-9.5668335,14.199812,5.546546,4.179501,6.9220862,-6.951637,-0.42779064,-0.7208039,-1.4845939,-5.4189053,-6.420614,-0.0549191,1.0766784,-2.7993004,-0.9885567,-2.517448,-5.337828,-3.5150032,2.8737075,1.2532421,-2.67792,12.164642,-1.9054341,-5.085593,2.2088516,3.9287765,6.8466535,6.2672033,-13.114308,8.833173,-6.9595227,12.364197,-7.9809513,6.8343787,4.643121,0.67831457,-3.938764,1.879987,0.11407696,-1.8420827,-5.021093,7.040937,-2.2282708,5.7955523,-3.4410856,4.0387526,9.73362,-1.8022996,-1.1413457,-6.587856,2.6156852,-5.7097416,2.7117953,-4.3974957,2.7191179,-4.835757,8.846928,6.3878336,5.0247774,0.53309286,-5.5397973,-5.0995736,-3.2615647,-12.329492,-1.9925363,2.8688455,-8.872028,0.52585924,-2.6293614,-6.509891,3.5669203,3.9391587,-1.6240517,-3.7939174,11.690007,7.146968,4.2208347,-6.561979,-4.6427507,-6.075827,14.481738,-7.434116,3.5111313,-6.956165,-2.5493896,0.66585666,-3.5615945,-4.939712,-4.5975137,-3.0834076,7.164965,-5.3960867,-2.9571853,-5.422451,-2.2783635
318,0,0.22235209,0.018160842,-4.775271,-3.3963947,-4.4841967,-4.5632534,-10.366636,-5.969792,6.1910267,-5.5913973,-1.643958,-6.160213,8.119707,12.520995,9.921121,-2.6848464,0.98930246,-5.585678,2.075692,5.018785,1.0193446,4.1541147,-1.0494933,-9.671392,1.2711191,2.5158665,7.812482,-3.4693632,-9.463686,2.547303,-1.3827083,4.073612,2.7291467,-8.795664,5.830724,-10.087158,12.283591,6.974538,3.071587,6.8934255,-6.556888,-2.5912957,-0.5075622,0.0641483,-5.516189,-5.202827,1.0820777,-1.1109997,-2.79245,-0.90571725,-3.470531,-6.8316007,-1.8982084,3.12345,1.3427166,-1.9693922,11.396957,-0.8251817,-4.5100207,1.2520978,3.3510473,6.4289947,5.978545,-11.30672,7.9327435,-6.7128286,10.726628,-8.460693,7.0927334,3.2534006,0.35398757,-1.7136173,3.1929202,-1.0030359,-2.1261435,-4.4844713,6.662037,-1.7935295,4.5081296,-3.009969,3.1217787,9.711137,-1.6357622,0.96342665,-6.508471,1.7749491,-4.3341417,1.9895726,-3.420826,2.9898179,-4.3594275,6.4609103,5.808045,3.3841403,1.1787273,-4.234602,-5.3823743,-2.2722254,-11.964508,-0.06237912,1.6833192,-8.203607,1.0752704,-3.4337308,-5.347003,3.0600297,4.4153075,-1.6878699,-3.8991373,10.102369,7.0573893,5.078941,-6.4380283,-4.6084185,-6.189103,14.587881,-5.8026342,3.6124825,-7.2542057,-2.1981955,-0.48753452,-5.154719,-5.3078065,-4.185269,-1.3346037,6.4684787,-4.8390946,-3.8836107,-6.1829987,-2.822889
319,0,0.27962017,0.034555465,-4.875273,-2.9424276,-4.508799,-4.795651,-10.476592,-5.8464627,6.4852695,-5.3904696,-1.6416315,-6.1288095,8.475525,12.471221,10.176763,-2.4748423,0.9589727,-5.712041,2.3167832,5.028587,1.4998533,4.3911204,-1.3638453,-9.508122,1.0815725,2.4267504,7.577788,-3.6383405,-9.628042,2.362129,-1.2814386,3.821294,2.9130824,-8.494741,6.0465417,-10.40218,12.250257,7.3879023,3.043805,6.8692636,-6.830785,-2.9425936,-0.32551134,0.36913383,-5.3484554,-4.960804,1.3312447,-1.5870792,-3.0612404,-1.0274625,-3.6261475,-7.144608,-1.4579132,3.1271741,1.3204737,-1.7418553,11.548061,-0.49712643,-4.70869,0.8976559,3.1905677,6.3565073,6.1010394,-11.182689,8.2805,-6.768672,10.862159,-8.697348,7.09157,3.1405447,0.4748765,-1.3051684,3.310683,-0.95965517,-2.1187816,-4.504408,6.644368,-1.6848066,4.451094,-3.3017733,3.0198333,9.930172,-1.546765,1.597479,-6.67007,1.3682292,-3.9501839,1.7314351,-3.0477216,3.3624222,-4.743728,5.959257,5.704333,3.4776716,1.1889752,-3.9394166,-5.362202,-2.2824957,-12.056613,0.37463003,1.3861299,-8.065564,1.14298,-3.4428866,-5.5087185,3.248586,4.512349,-1.7837752,-4.290074,9.995716,7.216678,5.175417,-6.687766,-4.893294,-6.328637,14.801038,-5.531694,3.7651424,-7.65622,-1.9418517,-1.135916,-5.3772264,-5.6594777,-4.2272353,-1.2066282,6.56014,-4.860037,-4.2026806,-6.326421,-2.870873
322,0,0.42089117,0.059123695,-3.5639577,-1.9329284,-3.9590645,-4.8850636,-8.09463,-5.341881,6.9433565,-4.6687145,-2.57715,-5.072198,5.536924,10.08601,7.3622603,-0.29724163,0.5838851,-3.4780614,1.4882332,4.4169884,1.2213352,4.0211453,-0.99612814,-7.3449388,-0.18021564,1.7354071,6.0047493,-2.9644203,-9.14428,0.8877257,-1.1009791,2.5167217,2.635897,-7.1025724,4.8245196,-7.3599596,9.826132,8.255016,2.1885085,5.6501446,-6.443586,-4.554332,-0.6498646,0.80634755,-6.2982354,-2.770547,2.0042574,-1.3472958,-3.946831,0.23556702,-2.7049253,-7.2222238,-1.6016314,2.4310913,1.3505951,-0.94127506,9.624757,-1.1272596,-2.675228,0.16085921,2.578299,5.9424696,6.549309,-9.660358,8.337064,-6.768413,7.918482,-6.019385,5.826808,2.7797925,-0.67855924,-0.4772824,4.550237,-1.000117,-0.7028844,-4.935205,4.6926208,-0.12738286,4.4083796,-2.6186821,2.326831,6.902295,-1.1037384,3.8444111,-4.259724,1.094489,-3.133459,1.7243996,-2.6143057,2.9616346,-3.4811761,4.258771,4.3552527,0.46360666,0.065626845,-2.994062,-5.8366294,-0.6219158,-9.043992,0.35306635,1.4491414,-6.5884995,1.6044555,-3.2626767,-2.84327,2.8890488,4.849229,-1.9133422,-3.711687,7.794739,5.9598484,5.048887,-5.1396055,-1.7359565,-5.432797,12.9445715,-4.581013,2.5821202,-6.478456,-2.8032296,-1.0698216,-3.823121,-5.0591254,-4.082438,0.3288787,5.0394382,-3.0277019,-3.0435581,-6.395118,-2.741821
325,0,0.5544193,0.0826235,-3.4398727,-1.090481,-3.8515923,-5.9572515,-7.36133,-4.8237667,7.491053,-4.510054,-3.4976323,-4.3588176,5.4906263,9.586792,7.224363,0.2641069,0.32734916,-3.2639794,1.6432936,4.1319666,1.8885366,5.010745,-1.2403343,-6.8329334,-0.8513872,1.6642274,6.0346313,-3.5304887,-9.684183,-0.5435499,-1.5263925,1.9946576,3.035747,-6.3378105,5.386853,-7.967362,8.806005,8.775595,2.2444634,5.402327,-6.6468735,-5.1865554,-0.59115213,1.5739186,-5.975826,-1.5494897,2.9835265,-1.6404288,-4.3982887,-0.19175658,-3.084046,-7.6271367,-1.2069383,2.1457868,1.7238984,0.1745598,8.976483,-0.51714927,-1.8387543,-0.22120912,2.3202155,6.367578,7.7863007,-8.459798,9.32196,-6.6278577,7.9611154,-5.6299443,6.0489755,1.8716764,-1.0662054,0.38544995,4.9209485,-2.0156336,-0.053046044,-5.120933,3.993022,0.71517247,4.9500465,-2.7958057,2.296884,5.9963717,-1.1796775,5.556726,-3.676512,0.9477441,-2.2856464,1.7270178,-1.3239074,3.1812906,-2.7818527,2.939239,4.3206515,0.43230668,-1.077135,-2.7392578,-6.6324925,0.7547743,-7.880408,1.6513422,0.3336059,-6.517941,2.431139,-2.6339824,-2.3425531,2.1207397,5.1589727,-1.7153561,-4.3976507,7.594187,6.1984053,4.909925,-5.378174,-1.6075844,-6.2426558,12.8764515,-4.301932,2.0885212,-7.5843444,-3.7638474,-1.7495319,-4.0488553,-5.837403,-4.924036,0.79156816,4.070335,-2.7262945,-3.4526691,-6.71478,-2.870578
328,0,0.66311175,0.08339961,-3.1322083,-0.7657179,-4.5694222,-5.986441,-6.6610856,-4.1808167,7.348136,-3.7541275,-4.3537827,-4.1222343,5.463509,8.884582,6.4130144,0.32839832,0.7090241,-3.222745,1.7227179,3.8341026,1.8553525,4.671139,-1.1337417,-6.4201612,-0.91928273,1.8907769,5.05176,-3.2600775,-9.610254,-0.8160384,-1.8247931,2.1494222,2.664757,-5.3554378,4.804497,-7.527809,7.7304187,8.337998,2.484831,4.6566916,-6.6738777,-5.166161,-0.96716154,2.2794712,-5.5791283,-1.2053534,2.9220204,-2.3453963,-4.07915,0.18641646,-2.668507,-7.777279,-1.2283772,2.1036847,1.9291911,-0.12129325,9.164821,-0.41550562,-2.2171535,-0.75637335,2.8560102,6.572515,6.9995494,-7.9996443,8.432294,-6.73404,7.097748,-6.200657,5.7182684,1.2705777,-1.1004312,1.2538444,5.3898644,-1.8450441,-0.32761326,-4.55509,3.2464538,0.49723947,4.77324,-2.8711212,2.146587,5.1438026,-1.2758777,6.1220455,-3.2969048,0.46988526,-1.4769968,1.3091618,-0.27165598,2.9715796,-3.2007344,1.7661449,4.16514,0.2602275,-1.4181238,-2.8027244,-6.387404,1.4375262,-7.9351215,1.641937,0.42038444,-5.875358,2.1242979,-2.8697474,-2.2806528,1.941773,4.885101,-1.4410614,-4.518138,7.257454,6.1858015,5.0835648,-5.242447,-1.5742677,-6.2763486,12.325146,-3.8608902,1.8754729,-7.9050765,-3.907228,-2.316004,-3.948084,-6.3483663,-5.1553497,0.8724051,3.7477033,-2.313127,-3.4382172,-6.606129,-3.069139
331,0,0.7433163,0.12033771,-2.4424095,-0.88243914,-5.7410326,-6.3761816,-6.2575173,-3.9137707,7.1402345,-2.2635124,-5.5633864,-4.336591,5.0127707,7.938017,5.615104,0.47683308,1.5724916,-3.2909694,2.4315684,4.1719155,2.1817598,4.5651293,-1.1528538,-6.48736,-0.7922839,1.3118242,4.0324845,-3.213745,-9.68001,-0.8495717,-1.6513678,1.7437311,2.3155777,-4.858329,3.8819296,-7.1813326,7.42325,8.412369,2.622788,3.636012,-5.928722,-5.6472545,-1.5596219,3.2320938,-4.728727,-1.1425363,2.8207078,-3.1725488,-3.5342445,0.23655356,-2.409088,-7.4083705,-0.59005165,1.1582118,2.782177,-0.7791958,9.119455,-0.40082255,-3.134914,-2.1229422,2.603421,7.3288665,5.492197,-7.4790206,8.176865,-7.2996635,6.4983153,-6.6941795,6.0230126,0.23100308,-0.7734054,1.7979809,5.5192647,-1.6921151,-1.1811593,-4.1282196,3.0562627,1.2039862,4.458811,-2.3011172,1.6477051,4.356661,-0.8008349,7.657808,-2.844786,-0.19739354,-0.29569504,0.40561658,1.0252777,2.6566188,-3.82461,0.24808323,3.3454008,0.53394806,-1.4992169,-2.4726465,-6.1248884,1.0139698,-7.8482904,1.8643045,0.6208849,-5.563597,1.1101326,-3.548282,-2.419619,1.8227557,4.131554,-0.8932253,-4.810664,6.4275084,6.30571,5.0113783,-5.704861,-2.0253036,-5.6529107,11.5309,-3.8936117,1.8636873,-8.227137,-3.0599499,-3.022321,-4.2648506,-6.7507753,-4.868695,1.2692143,3.274976,-2.3200195,-4.146101,-6.0395994,-3.0161467
334,0,0.7928415,0.14418983,-1.8575602,-0.569215,-6.545155,-7.097704,-6.2539096,-3.6783912,7.488695,-1.2316946,-6.142685,-4.2943697,4.9416394,7.6383915,5.6625414,0.40320477,2.2310615,-3.7222226,3.0894244,4.5597196,2.475708,4.808786,-1.3311883,-6.466379,-0.83296984,0.6830281,3.6124127,-3.3871853,-9.770478,-1.0264384,-1.6384336,1.1828637,2.1649566,-4.548007,3.8213787,-7.8134146,7.39077,8.523456,3.023949,3.4280941,-5.708019,-5.7607207,-1.4105144,3.6483412,-3.9925532,-0.777327,3.0251179,-3.8807528,-3.4743273,0.26303,-2.5265825,-7.279271,0.17057142,0.42845416,3.5421975,-1.0882944,8.908664,-0.2671479,-3.81099,-3.1089847,2.3312914,8.037043,4.8574433,-7.236157,8.790652,-7.6078815,7.0767317,-6.8586526,6.447798,-0.4066196,-0.6269851,1.9680241,5.4723663,-1.5790231,-1.6583066,-4.479604,3.1162791,1.7655628,4.290134,-2.114905,1.3395945,3.998483,-0.55446315,9.220283,-2.8919759,-0.39091274,0.4276439,-0.27117622,1.8541058,2.8447924,-4.4243855,-0.285941,2.8843718,1.0412526,-1.3150296,-2.3131123,-6.1693406,0.5339633,-7.69736,2.3195553,0.44683424,-5.4794855,0.63227206,-3.8228667,-2.8352017,1.5951945,3.4721527,-0.5750971,-5.221237,6.05245,6.2733006,5.0189376,-6.0830975,-2.5689812,-5.3246484,11.32192,-3.7880597,2.0553486,-8.896429,-2.4487069,-3.8709285,-4.546621,-7.133409,-4.7928824,1.5564737,3.084628,-2.192458,-5.1721077,-5.7284126,-2.9177737
337,0,0.83579254,0.1705004,-0.6677962,0.4847078,-7.715102,-7.414445,-6.1644335,-2.4734268,7.355361,0.56883526,-6.4000626,-3.856979,4.8079133,6.7339964,5.4391637,-0.24157578,3.2923856,-5.2784877,4.4700828,4.8427773,2.85841,4.747846,-1.810995,-6.5839357,-0.38670516,-0.16462481,2.4713538,-3.3085346,-9.0784445,-1.4613043,-1.3501937,0.79239756,1.8008988,-3.4964805,3.4199417,-8.507236,6.5371766,8.057888,3.416685,2.5044768,-4.973268,-5.5100474,-1.6277653,4.4185643,-2.7703815,-0.36878175,3.1175475,-5.8019276,-2.8389914,-0.19366245,-2.1299744,-7.414056,1.6148223,-0.28409243,4.5402174,-1.0652388,8.735889,0.12153209,-5.2123547,-4.900707,2.33227,9.029094,2.5790374,-7.376108,8.67616,-7.7407174,7.539574,-7.041979,6.5554967,-1.7915368,0.045613516,2.6138272,5.061327,-1.5129538,-2.5701294,-3.2188041,3.1085687,2.2329316,3.6515093,-1.5522689,0.6479168,3.468931,-0.2467002,10.269725,-2.7771068,-0.66063803,1.1045446,-1.7543554,3.6843908,3.7817023,-5.6341558,-1.7588226,2.8937569,2.3351836,-1.1208304,-2.266043,-5.569235,-0.26224127,-7.729465,2.9480522,-0.14577687,-5.259636,-0.18846273,-3.7874994,-3.6713972,1.012393,2.248947,-0.24606352,-5.7134366,5.4665446,6.16217,4.559971,-6.4569116,-4.2382426,-4.8948474,10.34116,-3.298759,2.5641801,-9.841492,-1.5012634,-5.962082,-4.7933125,-7.592772,-3.7838829,1.6259645,4.0149965,-2.212834,-5.9246936,-5.289767,-2.7553458
